Player_Name|position|nationality
ABALDE, ALBERTO|Forward|Spain
ABASS, AWUDU|Guard|Italy
ADAMS, JOSH|Guard|United States of America
AGRAVANIS, DIMITRIS|Forward|Greece
ANDERSON, JAMES|Guard|United States of America
ANTETOKOUNMPO, THANASIS|Forward|Greece
ANTIC, PERO|Center|Serbia
ANTONOV, SEMEN|Forward|Russian Federation
APIC, DRAGAN|Forward|Serbia
ARLAUSKAS, MARTYNAS|Guard|Lithuania
ARNA, EGEHAN|Forward|Turkey
ARSENOPOULOS, NIKOLAOS|Guard|Greece
ASTAPKOVICH, ANTON|Forward|Russian Federation
AUGUSTE, ZACH|Center|Greece
AUGUSTINE, JAMES|Center|United States of America
AYON, GUSTAVO|Center|Mexico
BALBAY, DOGUS|Guard|Turkey
BATUK, BIRKAN|Forward|Turkey
BEAUBOIS, RODRIGUE|Forward|France
BERTANS, DAIRIS|Guard|Latvia
BITIM, ONURALP|Guard|Turkey
BJELICA, MILKO|Center|Serbia
BOGRIS, GEORGIOS|Center|Greece
BOLDEN, JONAH|Forward|United States of America
BOST, DEE|Guard|United States of America
BROOKS, JEFF|Forward|United States of America
BROWN, BOBBY|Guard|United States of America
BROWN, DERRICK|Forward|United States of America
CALATHES, NICK|Guard|Greece
CAMPAZZO, FACUNDO|Guard|Argentina
CARROLL, JAYCEE|Guard|United States of America
CAUSEUR, FABIEN|Forward|France
CINCIARINI, ANDREA|Guard|Italy
CLAVER, VICTOR|Forward|Spain
CLYBURN, WILL|Forward|United States of America
COHEN, JAKE|Center|Israel
COLE, NORRIS|Guard|United States of America
CUSIN, MARCO|Center|Italy
DANGUBIC, NEMANJA|Forward|Serbia
DATOME, LUIGI|Forward|Italy
DAVIDOVAC, DEJAN|Forward|Serbia
DAVIES, BRANDON|Center|United States of America
DE COLO, NANDO|Guard|France
DELFINO, CARLOS|Forward|Italy
DEMIR, BERK|Forward|Turkey
DENMON, MARCUS|Guard|United States of America
DIAGNE, ATOUMANE|Center|Senegal
DIAZ, ALBERTO|Guard|Spain
DIBARTOLOMEO, JOHN|Guard|Israel
DIEZ, DANIEL|Forward|Spain
DIOP, ILIMANE|Center|Spain
DOBRIC, OGNJEN|Guard|Serbia
DOELLMAN, JUSTIN|Forward|United States of America
DONCIC, LUKA|Guard|Slovenia
DOORNEKAMP, AARON|Forward|Netherlands
DOUGLAS, TONEY|Guard|United States of America
DRAGIC, ZORAN|Forward|Slovenia
DUBLJEVIC, BOJAN|Center|Montenegro
DUNSTON, BRYANT|Center|United States of America
DUVERIOGLU, AHMET|Center|Turkey
EDIGIN, EDDY|Center|Germany
ENNIS, DYLAN|Guard|Canada
FELDEINE, JAMES|Guard|United States of America
FERNANDEZ, RUDY|Forward|Spain
FERRANDO, LUIS|Guard|Spain
FONT, ALEIX|Forward|Spain
